property_id,property_name_text,address_line1_text,city_name_text,state_code,zip_code,latitude,longitude,property_total_unit_count,owner_email_text,mgmt_agent_org_name
800000162,BEECH CREEK APARTMENTS                            ,100 Beech Creek Ln                           ,Selma                       ,AL,36703,32.43,-86.91,80,ms@chlaw.com,"SPM, LLC"
800000164,BIRMINGHAM TOWERS                                 ,2712 31st Ave N                              ,Birmingham                  ,AL,35207,33.57,-86.82,125,ntial.com,Silver Tree Residential LLC
800000165,BLUFF PARK APTS                                   ,"100 Bluff Park, I                            ",EUFAULA                     ,AL,36027,31.9,-85.15,66,Billw@spm.net,"SPM, LLC"
800000166,BONITA TERRACE APARTMENTS                         ,1300 HARGROVE RD                             ,TUSCALOOSA                  ,AL,35401,33.17,-87.62,130,lty.com,MORROW REALTY CO.INC.
800000167,BONNIE DOONE APARTMENTS                           ,100 Sanders St                               ,ATHENS                      ,AL,35611,34.78,-86.95,60,inito@mhmltd.com,Millennia Housing Management Ltd
800000168,BRAD HMS FOR ELD #4                               ,2500 Montague St                             ,Selma                       ,AL,36701,32.41,-87.03,30,@yahoo.com,BALLARD REALTY
800000169,BRADLEY HOMES #3                                  ,300 EXECUTIVE PKY                            ,GREENVILLE                  ,AL,36037,31.82,-86.62,30,anies.com,BALLARD REALTY
800000170,BRADLEY PARK                                      ,524 Gilbert Ferry Rd SE                      ,ATTALLA                     ,AL,35954,34.01,-86.1,40,ari@marvemgmt.com,Castleberry Property Management Group inc.
800000171,BRANCH CREEK APARTMENTS                           ,218 South Hine Street                        ,ATHENS                      ,AL,35611,34.78,-86.95,55,sliew@spm.net,"SPM, LLC"
800000172,BRENT GARDENS                                     ,57 STEELE ST Building 3                      ,CENTREVILLE                 ,AL,35042,32.95,-87.13,50,inc.com,"SPM, LLC"
800000173,BRENT HILL APARTMENTS                             ,1800 SHELTON BEACH RD                        ,MOBILE                      ,AL,36618,30.74,-88.17,50,rstead.com,Fairstead Communities LLC
800000174,BRENTWOOD PARK                                    ,131 Broadway Avenue                          ,TALLADEGA                   ,AL,35160,33.43,-86.09,50,roperties.com,Jeffrey L Kittle Trust
